"THEDATE","RISKOPTION_CG","COUNT(1)"
"2012",10002,960
"2012",10003,196
"2012",10004,1
"2012",10007,1
"2013",10001,69
"2013",10002,145028
"2013",10003,21787
"2013",10004,331
"2013",10005,53
"2013",10007,5564
"2014",10001,47
"2014",10002,195369
"2014",10003,30058
"2014",10004,226
"2014",10005,23
"2014",10007,11761
"2015",10001,31
"2015",10002,245288
"2015",10003,37365
"2015",10004,444
"2015",10005,17
"2015",10007,16497
"2016",10001,20
"2016",10002,317386
"2016",10003,43986
"2016",10004,5854
"2016",10005,13
"2016",10007,20895
"2016","",3
"2017",10002,2070
"2017",10003,285
"2017",10004,55
"2017",10007,144
